0.65 0.00998204
0.637 0.00967294
0.624 0.00936444
0.611 0.00905699
0.598 0.0087504
0.585 0.00844496
0.572 0.00814104
0.559 0.00783902
0.546 0.00753886
0.533 0.00724098
0.52 0.00694539
0.507 0.00665255
0.494 0.00636275
0.481 0.00607617
0.468 0.00579319
0.455 0.00551386
0.442 0.00523861
0.429 0.00496758
0.416 0.00470109
0.403 0.00443943
0.39 0.00418284
0.377 0.0039316
0.364 0.00368586
0.351 0.00344605
0.338 0.00321243
0.325 0.0029852
0.312 0.00276479
0.299 0.00255109
0.286 0.00234442
0.273 0.00214518
0.26 0.00195377
0.247 0.00177002
0.234 0.00159416
0.221 0.00142689
0.208 0.00126775
0.195 0.0011176
0.182 0.000976122
0.169 0.00084349
0.156 0.000720204
0.143 0.000606245
0.13 0.000501923
0.117 0.000407031
0.104 0.000321687
0.091 0.000246503
0.078 0.000181056
0.065 0.000125432
0.052 8.00362e-05
0.039 4.49008e-05
0.026 1.97471e-05
0.013 4.59608e-06
4.3e-07 -2.14554e-07
