10.7143 -9930.58 -9851.07 9952.56 386.743 4.3543 -200 0
11.9048 -10829.3 -10746.6 10857.3 459.598 4.3543 -200 0
12.9048 -11728 -11642.2 11762.1 538.736 4.3543 -200 0
13.9048 -12626.6 -12537.7 12666.9 624.158 4.3543 -200 0
14.9048 -13525.3 -13433.3 13571.7 715.862 4.3543 -200 0
15.9048 -14424 -14328.8 14476.4 813.85 4.3543 -200 0
16.9048 -15322.6 -15224.4 15381.2 918.121 4.3543 -200 0
17.9048 -16221.3 -16119.9 16286 1028.67 4.3543 -200 0
18.9048 -17120 -17015.5 17190.8 1145.51 4.3543 -200 0
19.9048 -18018.7 -17911 18095.6 1268.63 4.3543 -200 0
20.9048 -18917.3 -18806.6 19000.3 1398.04 4.3543 -200 0
21.9048 -19816 -19702.1 19905.1 1533.72 4.3543 -200 0
22.9048 -20714.6 -20597.7 20809.9 1675.69 4.3543 -200 0
23.9048 -21613.3 -21493.2 21714.7 1823.95 4.3543 -200 0
25.0952 -22501.2 -22388.8 22619.4 1978.48 4.3543 -200 0
26.0952 -23399.4 -23284.3 23524.2 2139.3 4.3543 -200 0
27.0952 -24297.6 -24179.9 24429 2306.4 4.3543 -200 0
28.0952 -25195.8 -25075.4 25333.8 2479.79 4.3543 -200 0
29.0952 -26094.1 -25971 26238.6 2659.46 4.3543 -200 0
