# fA sigma

0.30 0.178 0.181
0.35 0.170 0.176
0.40 0.160 0.166
0.45 0.140 0.153
0.50 0.120 0.134
0.55 0.090 0.107
0.60 0.043 0.067
0.65 -0.04 0.008
0.70 -0.24 -0.084
