#mu_d fE fE_homo Volume Area
4.4 -5219.69 -5654.87 5654.87 729.477
4.45 -5292.57 -5654.87 5654.87 729.477
4.5 -5366.17 -5654.87 5654.87 729.477
4.55 -5440.53 -5654.87 5654.87 729.477
4.6 -5515.64 -5654.87 5654.87 729.477
4.65 -5591.53 -5654.87 5654.87 729.477
4.7 -5668.2 -5654.87 5654.87 729.477
