0.999998 0.3  4.33736e-06    0.00998595  0.00186845
0.999921 0.3  4.4226e-06    0.00998588  0.00186876
0.998907 0.3  4.4877e-06    0.00998706  0.00186828
0.992229 0.3  4.88825e-06    0.00999323  0.00186897
0.966853 0.3  5.21125e-06    0.0100164  0.00187205
0.905894 0.3  7.96415e-07    0.0100716  0.00188079
0.880444 0.3  5.08009e-06    0.0100963  0.00188248
0.849138 0.3  4.65878e-06    0.0101255  0.00188647
0.811159 0.3  3.79524e-06    0.0101612  0.00189148
0.765814 0.3  2.25107e-06    0.010204  0.00189773
0.712636 0.3  -2.90184e-07    0.0102545  0.00190549
0.651483 0.3  -4.21551e-06    0.0103129  0.00191498
0.582612 0.3  4.05725e-06    0.0103824  0.00192213
0.506703 0.3  3.94225e-06    0.0104577  0.00193339
0.424829 0.3  3.79087e-06    0.0105398  0.00194614
0.338377 0.3  3.59778e-06    0.0106274  0.00196081
0.248925 0.3  3.35525e-06    0.0107189  0.0019769
0.15811 0.3  3.05972e-06    0.0108124  0.00199472
0.0675089 0.3  2.70843e-06    0.0109062  0.00201382
0.0264427 0.3  8.4548e-06    0.0109646  0.00200095
-0.0613498 0.3  5.18356e-06    0.0110697  0.00200225
-0.145831 0.3  5.15513e-06    0.0111723  0.00200311
-0.226161 0.3  5.16858e-06    0.0112703  0.00200454
-0.301743 0.3  5.215e-06    0.011363  0.00200619
-0.372203 0.3  5.28585e-06    0.0114498  0.00200801
-0.437361 0.3  5.37396e-06    0.0115304  0.00201014
-0.497192 0.3  5.47198e-06    0.0116046  0.00201207
-0.551793 0.3  5.57474e-06    0.0116724  0.00201417
-0.601357 0.3  5.6786e-06    0.0117343  0.00201596
-0.646138 0.3  5.77984e-06    0.0117901  0.00201786
-0.686434 0.3  5.87632e-06    0.0118406  0.00201937
-0.722566 0.3  5.96725e-06    0.0118858  0.002021
-0.754863 0.3  6.05138e-06    0.0119264  0.00202223
-0.783657 0.3  6.12903e-06    0.0119625  0.0020236
-0.809266 0.3  6.1991e-06    0.0119947  0.00202457
-0.885694 0.3  6.74155e-06    0.012091  0.00202793
-0.94044 0.3  6.71183e-06    0.0121601  0.00203026
-0.973886 0.3  6.72313e-06    0.0122022  0.00203199
-0.990745 0.3  1.16147e-06    0.0122223  0.00203446
-0.997478 0.3  5.16137e-06    0.0122317  0.00203345
