0.999996 0.6  7.39576e-06    0.00908716  -0.00132579
0.999884 0.6  7.72055e-06    0.00908766  -0.00132626
0.998401 0.6  7.86418e-06    0.00908879  -0.00132695
0.988662 0.6  8.37131e-06    0.00909647  -0.00132948
0.952177 0.6  8.29177e-06    0.00912321  -0.00133657
0.867581 0.6  8.0037e-06    0.00918351  -0.00134819
0.833407 0.6  8.26403e-06    0.00921232  -0.00136065
0.7922 0.6  7.00192e-06    0.00924245  -0.00136573
0.743341 0.6  4.97318e-06    0.00927893  -0.00137205
0.686486 0.6  1.92779e-06    0.00932282  -0.00138259
0.621653 0.6  8.48618e-06    0.00937357  -0.00139569
0.549286 0.6  8.71532e-06    0.00942853  -0.001405
0.470254 0.6  8.84672e-06    0.0094944  -0.00142399
0.385797 0.6  9.08122e-06    0.00956336  -0.00143849
0.297425 0.6  9.56047e-06    0.0096359  -0.00145314
0.206783 0.6  9.74672e-06    0.00971393  -0.00147173
0.115521 0.6  9.6686e-06    0.00979362  -0.00149074
0.0251778 0.6  9.57136e-06    0.00987742  -0.0015146
-0.0629013 0.6  1.00528e-05    0.0099567  -0.00153232
-0.102213 0.6  1.53815e-05    0.00998172  -0.00152954
-0.185079 0.6  1.14244e-05    0.0100509  -0.00154029
-0.263429 0.6  1.11964e-05    0.0101184  -0.00155389
-0.336774 0.6  1.09634e-05    0.0101827  -0.00156684
-0.404841 0.6  1.09462e-05    0.0102423  -0.00157768
-0.467531 0.6  1.08799e-05    0.0102996  -0.00159001
-0.524889 0.6  1.08102e-05    0.0103502  -0.00159704
-0.577069 0.6  1.05237e-05    0.0103984  -0.00160776
-0.624301 0.6  1.07209e-05    0.0104422  -0.00161647
-0.66687 0.6  1.06906e-05    0.0104815  -0.0016238
-0.705092 0.6  1.07316e-05    0.0105169  -0.00163021
-0.739298 0.6  1.05489e-05    0.0105476  -0.00163371
-0.769823 0.6  1.07453e-05    0.0105772  -0.00164047
-0.796996 0.6  1.06882e-05    0.0106033  -0.0016457
-0.821132 0.6  1.04946e-05    0.0106264  -0.00165044
-0.842531 0.6  2.09968e-06    0.0106483  -0.00165547
-0.906022 0.6  1.09379e-05    0.010708  -0.00166508
-0.951174 0.6  1.0589e-05    0.0107521  -0.00167397
-0.978629 0.6  1.07654e-05    0.0107786  -0.00167844
-0.992432 0.6  6.51452e-06    0.0107928  -0.00168215
-0.997939 0.6  9.4781e-06    0.0107975  -0.00168118
