0.5 26.25 26.25 -nan
0.5 37 37 -nan
0.5 58.5 58.5 -nan
0.5 123 123 -nan
0.52 2.6 2.6 -nan
0.52 3.21429 3.21429 -nan
0.52 3.92308 3.92308 -nan
0.52 4.75 4.75 -nan
0.52 5.72727 5.72727 -nan
0.52 6.9 6.9 -nan
0.52 8.33333 8.33333 -nan
0.52 10.125 10.125 -nan
0.52 12.4286 12.4286 -nan
0.52 15.5 15.5 -nan
0.52 19.8 19.8 -nan
0.52 26.25 26.25 -nan
0.52 37 37 -nan
0.52 58.5 58.5 -nan
0.52 123 123 -nan
0.54 2.6 2.6 -nan
0.54 3.21429 3.21429 -nan
0.54 3.92308 3.92308 -nan
0.54 4.75 4.75 -nan
0.54 5.72727 5.72727 -nan
0.54 6.9 6.9 -nan
0.54 8.33333 8.33333 -nan
0.54 10.125 10.125 -nan
0.54 12.4286 12.4286 -nan
0.54 15.5 15.5 -nan
0.54 19.8 19.8 -nan
0.54 26.25 26.25 -nan
0.54 37 37 -nan
0.54 58.5 58.5 -nan
0.54 123 123 -nan
0.56 2.6 2.6 -nan
0.56 3.21429 3.21429 -nan
0.56 3.92308 3.92308 -nan
0.56 4.75 4.75 -nan
0.56 5.72727 5.72727 -nan
0.56 6.9 6.9 -nan
0.56 8.33333 8.33333 -nan
0.56 10.125 10.125 -nan
0.56 12.4286 12.4286 -nan
0.56 15.5 15.5 -nan
0.56 19.8 19.8 -nan
0.56 26.25 26.25 -nan
0.56 37 37 -nan
0.56 58.5 58.5 -nan
0.56 123 123 -nan
0.58 2.6 2.6 -nan
0.58 3.21429 3.21429 -nan
0.58 3.92308 3.92308 -nan
0.58 4.75 4.75 -nan
0.58 5.72727 5.72727 -nan
0.58 6.9 6.9 -nan
0.58 8.33333 8.33333 -nan
0.58 10.125 10.125 -nan
0.58 12.4286 12.4286 -nan
0.58 15.5 15.5 -nan
0.58 19.8 19.8 -nan
0.58 26.25 26.25 -nan
0.58 37 37 -nan
0.58 58.5 58.5 -nan
0.58 123 123 -nan
0.6 2.6 2.6 -nan
0.6 3.21429 3.21429 -nan
0.6 3.92308 3.92308 -nan
0.6 4.75 4.75 -nan
0.6 5.72727 5.72727 -nan
0.6 6.9 6.9 -nan
0.6 8.33333 8.33333 -nan
0.6 10.125 10.125 -nan
0.6 12.4286 12.4286 -nan
0.6 15.5 15.5 -nan
0.6 19.8 19.8 -nan
0.6 26.25 26.25 -nan
0.6 37 37 -nan
0.6 58.5 58.5 -nan
0.6 123 123 -nan
0.62 2.6 2.6 -nan
0.62 3.21429 3.21429 -nan
0.62 3.92308 3.92308 -nan
0.62 4.75 4.75 -nan
0.62 5.72727 5.72727 -nan
0.62 6.9 6.9 -nan
0.62 8.33333 8.33333 -nan
0.62 10.125 10.125 -nan
0.62 12.4286 12.4286 -nan
0.62 15.5 15.5 -nan
0.62 19.8 19.8 -nan
0.62 26.25 26.25 -nan
0.62 37 37 -nan
0.62 58.5 58.5 -nan
0.62 123 123 -nan
0.64 2.6 2.6 -nan
0.64 3.21429 3.21429 -nan
0.64 3.92308 3.92308 -nan
0.64 4.75 4.75 -nan
0.64 5.72727 5.72727 -nan
0.64 6.9 6.9 -nan
0.64 8.33333 8.33333 -nan
0.64 10.125 10.125 -nan
0.64 12.4286 12.4286 -nan
0.64 15.5 15.5 -nan
0.64 19.8 19.8 -nan
0.64 26.25 26.25 -nan
0.64 37 37 -nan
0.64 58.5 58.5 -nan
0.64 123 123 -nan
0.66 2.6 2.6 -nan
0.66 3.21429 3.21429 -nan
0.66 3.92308 3.92308 -nan
0.66 4.75 4.75 -nan
0.66 5.72727 5.72727 -nan
0.66 6.9 6.9 -nan
0.66 8.33333 8.33333 -nan
0.66 10.125 10.125 -nan
0.66 12.4286 12.4286 -nan
0.66 15.5 15.5 -nan
0.66 19.8 19.8 -nan
0.66 26.25 26.25 -nan
0.66 37 37 -nan
0.66 58.5 58.5 -nan
0.66 123 123 -nan
0.68 2.6 2.6 -nan
0.68 3.21429 3.21429 -nan
0.68 3.92308 3.92308 -nan
0.68 4.75 4.75 -nan
0.68 5.72727 5.72727 -nan
0.68 6.9 6.9 -nan
0.68 8.33333 8.33333 -nan
0.68 10.125 10.125 -nan
0.68 12.4286 12.4286 -nan
0.68 15.5 15.5 -nan
0.68 19.8 19.8 -nan
0.68 26.25 26.25 -nan
0.68 37 37 -nan
0.68 58.5 58.5 -nan
0.68 123 123 -nan
0.7 2.6 2.6 -nan
0.7 3.21429 3.21429 -nan
0.7 3.92308 3.92308 -nan
0.7 4.75 4.75 -nan
0.7 5.72727 5.72727 -nan
0.7 6.9 6.9 -nan
0.7 8.33333 8.33333 -nan
0.7 10.125 10.125 -nan
0.7 12.4286 12.4286 -nan
0.7 15.5 15.5 -nan
0.7 19.8 19.8 -nan
0.7 26.25 26.25 -nan
0.7 37 37 -nan
0.7 58.5 58.5 -nan
0.7 123 123 -nan
