0.3  -6.56825e-06 0.000344277 0.0108055 1.50828e-05 0.0119064 -0.00212701
0.32  -4.99876e-06 0.000317863 0.0110938 1.505e-05 0.0121082 -0.00195437
0.34  -6.88191e-06 0.000374471 0.0111243 1.65503e-05 0.0123261 -0.00233249
0.36  -6.27628e-06 0.000350571 0.0113873 1.56859e-05 0.0125115 -0.00217952
0.38  -5.46069e-06 0.000320788 0.0116373 1.46917e-05 0.012664 -0.00198536
0.4  -4.61629e-06 0.000290798 0.0118529 1.37205e-05 0.0127811 -0.00178874
0.42  -3.89943e-06 0.000264775 0.0120369 1.2852e-05 0.01288 -0.00161974
0.44  -5.91754e-06 0.000322649 0.0119465 1.4275e-05 0.0129819 -0.00200922
0.46  -5.11744e-06 0.000293811 0.0120987 1.33171e-05 0.0130398 -0.0018221
0.48  -4.20269e-06 0.00026222 0.0122187 1.23192e-05 0.0130561 -0.00161502
0.5  -3.34606e-06 0.000232583 0.012299 1.13783e-05 0.0130393 -0.00142126
0.52  -2.56617e-06 0.000205032 0.0123519 1.04791e-05 0.0130021 -0.00124243
0.54  -4.5089e-06 0.000259888 0.012121 1.17951e-05 0.0129536 -0.00161209
0.56  -3.59724e-06 0.000228256 0.0121254 1.07897e-05 0.0128541 -0.00140503
0.58  -2.68306e-06 0.000196404 0.0120892 9.77598e-06 0.0127133 -0.00119615
0.6  -1.84502e-06 0.000165941 0.0120156 8.76459e-06 0.0125399 -0.000997271
0.62  -1.0545e-06 0.000135546 0.0119122 7.70667e-06 0.012337 -0.000799349
0.64  -2.94196e-06 0.000183904 0.011521 8.68396e-06 0.0121069 -0.00112648
0.66  -2.18224e-06 0.000149606 0.0113379 7.35607e-06 0.0118116 -0.00090343
0.68  -1.53058e-06 0.000114201 0.0110974 5.84195e-06 0.0114557 -0.000674918
