0.3  -6e-06 0.000282061 0.00852269 1.16238e-05 0.00942888 -0.00176106
0.32  -7.70949e-06 0.000320649 0.0085689 1.22262e-05 0.00960268 -0.00201794
0.34  -8.16099e-06 0.000298313 0.00877456 1.04034e-05 0.00973569 -0.00187456
0.36  -8.50119e-06 0.000275625 0.00896192 8.6738e-06 0.00984913 -0.00172837
0.38  -8.72859e-06 0.000252616 0.00913069 7.04043e-06 0.00994282 -0.00157963
0.4  -8.86919e-06 0.00022938 0.00928061 5.48246e-06 0.0100168 -0.00142901
0.42  -1.09923e-05 0.000269792 0.00921258 5.76983e-06 0.0100828 -0.00169974
0.44  -1.10133e-05 0.000246293 0.0093214 4.31503e-06 0.0101149 -0.00154748
0.46  -1.11006e-05 0.000222939 0.00940938 2.80885e-06 0.0101264 -0.0013952
0.48  -1.10048e-05 0.000197332 0.00948041 1.34228e-06 0.0101138 -0.00122926
0.5  -1.15097e-05 0.00017465 0.00952578 -5.4633e-07 0.010085 -0.00108227
0.52  -1.4015e-05 0.000213523 0.00934848 -7.27707e-07 0.0100364 -0.00134184
0.54  -1.39942e-05 0.000189188 0.00935132 -2.18174e-06 0.00995944 -0.00118256
0.56  -3.57308e-06 0.000165588 0.00933239 6.8329e-06 0.0098622 -0.00102427
0.58  -2.54725e-06 0.000141668 0.00928584 6.41863e-06 0.00973682 -0.00086616
0.6  -2.08515e-06 0.000124189 0.00920606 5.8053e-06 0.00960027 -0.000754336
0.62  -3.05989e-06 0.000164127 0.00891202 7.30304e-06 0.00943539 -0.00100738
0.64  -2.38444e-06 0.000154754 0.00876685 7.45724e-06 0.00925775 -0.000938505
0.66  -1.86128e-06 0.000160995 0.00857555 8.43767e-06 0.00908405 -0.00096665
0.68  -1.13979e-06 0.000193714 0.00831698 1.13938e-05 0.00892366 -0.00114035
