# mu = 4.2
# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
10.5238 -9746.37 -9851.67 9952.56 386.743 4.2 -200 0
11.5238 -10622.6 -10747.3 10857.3 459.598 4.2 -200 0
12.5238 -11498.7 -11642.9 11762.1 538.736 4.2 -200 0
13.5238 -12374.9 -12538.5 12666.9 624.158 4.2 -200 0
14.5238 -13251 -13434.1 13571.7 715.862 4.2 -200 0
15.5238 -14127.2 -14329.7 14476.4 813.85 4.2 -200 0
16.5238 -15003.3 -15225.3 15381.2 918.121 4.2 -200 0
17.5238 -15879.4 -16120.9 16286 1028.67 4.2 -200 0
18.5238 -16755.6 -17016.5 17190.8 1145.51 4.2 -200 0
