
10.0725 -9284.73 -9473.87 9570.54 380.824 4.5 -200 0
11.0725 -10132.4 -10341.7 10447.3 453.143 4.5 -200 0
12.0725 -10980.1 -11209.6 11324 531.746 4.5 -200 0
13.0725 -11827.7 -12077.5 12200.7 616.632 4.5 -200 0
14.0725 -12675.3 -12945.4 13077.4 707.801 4.5 -200 0
15.0725 -13523 -13813.2 13954.2 805.253 4.5 -200 0
16.0725 -14370.5 -14681.1 14830.9 908.988 4.5 -200 0
17.0725 -15218.1 -15549 15707.6 1019.01 4.5 -200 0
18.0725 -16065.7 -16416.8 16584.3 1135.31 4.5 -200 0
19.0725 -16913.3 -17284.7 17461.1 1257.89 4.5 -200 0
20.0725 -17760.8 -18152.6 18337.8 1386.76 4.5 -200 0
21.0725 -18608.4 -19020.4 19214.5 1521.91 4.5 -200 0
22.0725 -19455.9 -19888.3 20091.2 1663.35 4.5 -200 0
23.0725 -20303.5 -20756.2 20968 1811.06 4.5 -200 0
24.0725 -21151 -21624 21844.7 1965.06 4.5 -200 0
25.0725 -21998.6 -22491.9 22721.4 2125.35 4.5 -200 0
26.0725 -22846.1 -23359.8 23598.1 2291.92 4.5 -200 0
27.0725 -23693.6 -24227.6 24474.9 2464.77 4.5 -200 0
28.0725 -24541.2 -25095.5 25351.6 2643.9 4.5 -200 0
29.0725 -25388.7 -25963.4 26228.3 2829.32 4.5 -200 0
