0 0 0
0.0747998 0.253968 0.126984
0.1496 0.507937 0.253968
0.224399 0.761905 0.380952
0.299199 1.01587 0.507937
0.373999 1.26984 0.634921
0.448799 1.52381 0.761905
0.523598 1.77778 0.888889
0.598398 2.03175 1.01587
0.673198 2.28571 1.14286
0.747998 2.53968 1.26984
0.822797 2.79365 1.39683
0.897597 3.04762 1.52381
0.972397 3.30159 1.65079
1.0472 3.55556 1.77778
1.122 3.80952 1.90476
1.1968 4.06349 2.03175
1.2716 4.31746 2.15873
1.3464 4.57143 2.28571
1.4212 4.8254 2.4127
1.496 5.07937 2.53968
1.57079 5.33333 2.66667
1.64559 5.5873 2.79365
1.72039 5.84127 2.92063
1.79519 6.09524 3.04762
1.86999 6.34921 3.1746
1.94479 6.60317 3.30159
2.01959 6.85714 3.42857
2.09439 7.11111 3.55556
2.16919 7.36508 3.68254
2.24399 7.61905 3.80952
2.31879 7.87302 3.93651
2.39359 8.12698 4.06349
2.46839 8.38095 4.19048
2.54319 8.63492 4.31746
2.61799 8.88889 4.44444
2.69279 9.14286 4.57143
2.76759 9.39683 4.69841
2.84239 9.65079 4.8254
2.91719 9.90476 4.95238
2.99199 10.1587 5.07937
3.06679 10.4127 5.20635
3.14159 10.6667 5.33333
3.21639 10.9206 5.46032
3.29119 11.1746 5.5873
3.36599 11.4286 5.71429
3.44079 11.6825 5.84127
3.51559 11.9365 5.96825
3.59039 12.1905 6.09524
3.66519 12.4444 6.22222
3.73999 12.6984 6.34921
3.81479 12.9524 6.47619
3.88959 13.2063 6.60317
3.96439 13.4603 6.73016
4.03919 13.7143 6.85714
4.11399 13.9683 6.98413
4.18879 14.2222 7.11111
4.26359 14.4762 7.2381
4.33839 14.7302 7.36508
4.41319 14.9841 7.49206
4.48799 15.2381 7.61905
4.56279 15.4921 7.74603
4.63759 15.746 7.87302
4.71238 16 8
